coin,symbol,price,chain,1h,24h,24hVolume,fdv,numOfHolders,holderChange,lastAdded
Infam,INF,$2.51,Binance Smart Chain,-0.7867640269626824,-0.4859906146220716,"$44,185.28",?,-,-,7 days
Autobusd,ABS,$2.04,Binance Smart Chain,-18.024565142767848,88.76141354864885,"$27,332.63","$4,088,353",-,-,10 days
Colony,CLY,$2.03,Avalanche,-3.375812848277019,4.710210006772725,"$10,017,119","$304,531,417",-,-,19 hours
Life DAO,LF,$171.53,Avalanche,-4.308934753661068,25.383688348111956,"$2,249,728","$2,167,494",-,-,10 days
Mirror mAMD Token,MAMD,$142.41,Terra,-0.03136937971147179,-2.644900786671712,"$72,377.41",?,-,-,10 days
Tempo DAO,TEMPO,$14.09,Avalanche,1.4526619397708618,-65.96962795193431,"$749,559","$1,379,402",-,-,10 days
MidasDAO,CROWN,$138.85,Avalanche,10.993419655599835,20.393111136131136,"$928,005","$138,849,159",-,-,4 days
PAPA DAO,PAPA,$12.89,Avalanche,2.597851452533408,-31.687107782641014,"$3,277,710","$2,876,662",-,-,9 days
Tornadao,NADO,$116.85,Avalanche,1.3031384111136095,-48.65219732456522,"$353,116","$819,904",-,-,10 days
Vagabond,VGO,$106.78,XRP Ledger,-0.9957812088002677,42.88452353920752,"$1,219.64","$10,689,677,009",-,-,4 days
GalaxyGoggle DAO,GG,$102.12,Avalanche,-2.9177547798143975,23.13343734953277,"$8,498,449","$6,799,247",-,-,10 days
Metagame Arena,MGA,$1.88,Binance Smart Chain,-0.3829294137217086,2.801426804674541,"$130,163","$56,368,990",-,-,12 days
BACON,BACON,$1.81,Solana,-9.298116875983876,30.15089469906728,"$3,690.42",?,-,-,3 days
Born To Race,BRT,$1.63,Binance Smart Chain,-1.683064147226115,-1.1488002756135387,"$28,802.46",?,-,-,10 days
BuffaloSwap HORN,HORN,$1.55,Binance Smart Chain,16.05593818644623,15.58863699478363,"$7,733.47","$1,577,353",-,-,3 days
Kardia Info,INFO,$1.55,KardiaChain,0.49155144689763475,6.795291865152536,"$198,909","$1,488,734",-,-,8 days
